지점,지점명,일시,평균기온(°C)
108,서울,2012-01-09,-.3
108,서울,2012-01-10,-2.5
108,서울,2012-01-11,-6
108,서울,2012-01-12,-4.6
108,서울,2012-01-13,-1.2
108,서울,2012-01-14,-1.5
108,서울,2012-01-15,-2.6
108,서울,2012-01-16,1
108,서울,2012-01-17,2.8
108,서울,2012-01-18,1.4
108,서울,2012-01-19,5.3
108,서울,2012-01-20,5.4
108,서울,2012-01-21,2.4
108,서울,2012-01-22,-7.7
108,서울,2012-01-23,-9.6
108,서울,2012-01-24,-7.3
108,서울,2012-01-25,-8.2
108,서울,2012-01-26,-2.9
108,서울,2012-01-27,-.9
108,서울,2012-01-28,-1.8
108,서울,2012-01-29,-2.8
108,서울,2012-01-30,-5.6
108,서울,2012-01-31,-4.7
108,서울,2012-02-01,-12.8
108,서울,2012-02-02,-13.7
108,서울,2012-02-03,-8.6
108,서울,2012-02-04,-3
108,서울,2012-02-05,-.9
108,서울,2012-02-06,.9
108,서울,2012-02-07,-8.7
108,서울,2012-02-08,-8
108,서울,2012-02-09,-4.5
108,서울,2012-02-10,-3.5
108,서울,2012-02-11,-3.8
108,서울,2012-02-12,-.1
108,서울,2012-02-13,3.1
108,서울,2012-02-14,3
108,서울,2012-02-15,-1.3
108,서울,2012-02-16,-2.8
108,서울,2012-02-17,-6.4
108,서울,2012-02-18,-6.8
108,서울,2012-02-19,-4.4
108,서울,2012-02-20,-.2
108,서울,2012-02-21,2.3
108,서울,2012-02-22,5.8
108,서울,2012-02-23,4.4
108,서울,2012-02-24,4.3
108,서울,2012-02-25,1.2
108,서울,2012-02-26,-1.6
108,서울,2012-02-27,-.7
108,서울,2012-02-28,2.1
108,서울,2012-02-29,5.4
108,서울,2012-03-01,8.7
108,서울,2012-03-02,6.9
108,서울,2012-03-03,6.9
108,서울,2012-03-04,6.2
108,서울,2012-03-05,5.3
108,서울,2012-03-06,3
108,서울,2012-03-07,3
108,서울,2012-03-08,2
108,서울,2012-03-09,3.4
108,서울,2012-03-10,3.9
108,서울,2012-03-11,-2.4
108,서울,2012-03-12,-1.6
108,서울,2012-03-13,1.7
108,서울,2012-03-14,3.6
108,서울,2012-03-15,5.5
108,서울,2012-03-16,8.1
108,서울,2012-03-17,10.4
108,서울,2012-03-18,6.9
108,서울,2012-03-19,2.8
108,서울,2012-03-20,3.1
108,서울,2012-03-21,4.3
108,서울,2012-03-22,7.8
108,서울,2012-03-23,5
108,서울,2012-03-24,3.3
108,서울,2012-03-25,3.6
108,서울,2012-03-26,3.9
108,서울,2012-03-27,6.4
108,서울,2012-03-28,10.1
108,서울,2012-03-29,11.6
108,서울,2012-03-30,9
108,서울,2012-03-31,5.4
108,서울,2012-04-01,4.6
108,서울,2012-04-02,8.3
108,서울,2012-04-03,4.9
108,서울,2012-04-04,7.2
108,서울,2012-04-05,6.7
108,서울,2012-04-06,5.4
108,서울,2012-04-07,5.9
108,서울,2012-04-08,11.3
108,서울,2012-04-09,15.4
108,서울,2012-04-10,13.7
108,서울,2012-04-11,12.2
108,서울,2012-04-12,8.9
108,서울,2012-04-13,10.3
108,서울,2012-04-14,10.5
108,서울,2012-04-15,13.4
108,서울,2012-04-16,11.9
